"constructor_name","total_wins"
"Ferrari","1990"
"McLaren","1661"
"Red Bull","1286"
"Mercedes","1248"
"Williams","934"
"Team Lotus","374"
"Renault","352"
"Benetton","220"
"Brabham","179"
"Tyrrell","166"
"Lotus-Climax","126"
"BRM","98"
"Brawn","95"
"Ligier","84"
"Lotus-Ford","69"
"Cooper-Climax","63"
"Matra-Ford","61"
"Brabham-Repco","48"
"Jordan","32"
"Wolf","31"
