"driverId","avg_lap_time_ms"
1,"105685.5357"
5,"141004.0000"
8,"105459.6667"
4,"97205.0000"
30,"96986.4554"
57,"99291.4545"
35,"101215.6250"
71,"112429.3125"
56,"108007.0000"
18,"114365.3913"
20,"103004.3061"
3,"108982.6071"
17,"87880.0000"
13,"95246.5000"
817,"113155.3077"
822,"94813.1176"
815,"106692.6667"
830,"97256.8696"
844,"228317.3158"
847,"91964.0000"
832,"101841.5000"
846,"97457.2500"
857,"87184.5000"
